<NUMBER OF ZONES> 135										
<NUMBER OF NODES> 1067										
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 2535										
<END OF METADATA>											


~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B	Power	Speed limit 	Toll 	Type	;
	1.0	1046.0	9999999999.0	0.9	0.9	0.166666667	0.0	0	0	1	;
	1.0	1060.0	9999999999.0	1.14	1.14	0.166666667	0.0	0	0	1	;
	2.0	985.0	9999999999.0	0.84	0.84	0.166666667	0.0	0	0	1	;
	2.0	1000.0	9999999999.0	0.84	0.84	0.166666667	0.0	0	0	1	;
	2.0	1003.0	9999999999.0	1.26	1.26	0.166666667	0.0	0	0	1	;
	3.0	976.0	9999999999.0	0.84	0.84	0.166666667	0.0	0	0	1	;
	3.0	1010.0	9999999999.0	0.84	0.84	0.166666667	0.0	0	0	1	;
	3.0	1030.0	9999999999.0	0.84	0.84	0.166666667	0.0	0	0	1	;
	3.0	1032.0	9999999999.0	0.72	0.72	0.166666667	0.0	0	0	1	;
	4.0	979.0	9999999999.0	0.66	0.66	0.166666667	0.0	0	0	1	;
	4.0	1007.0	9999999999.0	0.66	0.66	0.166666667	0.0	0	0	1	;
	4.0	1017.0	9999999999.0	0.66	0.66	0.166666667	0.0	0	0	1	;
	4.0	1019.0	9999999999.0	0.66	0.66	0.166666667	0.0	0	0	1	;
	4.0	1027.0	9999999999.0	0.78	0.78	0.166666667	0.0	0	0	1	;
	5.0	892.0	9999999999.0	0.96	0.96	0.166666667	0.0	0	0	1	;
	5.0	922.0	9999999999.0	1.14	1.14	0.166666667	0.0	0	0	1	;
	5.0	923.0	9999999999.0	0.84	0.84	0.166666667	0.0	0	0	1	;
	6.0	900.0	9999999999.0	0.66	0.66	0.166666667	0.0	0	0	1	;
	6.0	926.0	9999999999.0	0.9	0.9	0.166666667	0.0	0	0	1	;
	6.0	929.0	9999999999.0	0.42	0.42	0.166666667	0.0	0	0	1	;
	7.0	951.0	9999999999.0	1.32	1.32	0.166666667	0.0	0	0	1	;
	7.0	952.0	9999999999.0	1.2	1.2	0.166666667	0.0	0	0	1	;
	7.0	954.0	9999999999.0	1.08	1.08	0.166666667	0.0	0	0	1	;
	7.0	956.0	9999999999.0	1.2	1.2	0.166666667	0.0	0	0	1	;
	7.0	958.0	9999999999.0	1.32	1.32	0.166666667	0.0	0	0	1	;
	8.0	905.0	9999999999.0	0.78	0.78	0.166666667	0.0	0	0	1	;
	8.0	932.0	9999999999.0	0.84	0.84	0.166666667	0.0	0	0	1	;
	9.0	1058.0	9999999999.0	0.36	0.36	0.166666667	0.0	0	0	1	;
	10.0	783.0	9999999999.0	1.5	1.5	0.166666667	0.0	0	0	1	;
	10.0	1057.0	9999999999.0	1.52	1.52	0.25	0.0	0	0	1	;
	11.0	171.0	9999999999.0	1.5	1.5	0.166666667	0.0	0	0	1	;
	11.0	199.0	9999999999.0	1.5	1.5	0.166666667	0.0	0	0	1	;
	12.0	172.0	9999999999.0	1.5	1.5	0.166666667	0.0	0	0	1	;
	12.0	198.0	9999999999.0	1.68	1.68	0.166666667	0.0	0	0	1	;
	13.0	175.0	9999999999.0	1.26	1.26	0.166666667	0.0	0	0	1	;
	14.0	174.0	9999999999.0	1.8	1.8	0.166666667	0.0	0	0	1	;
	14.0	196.0	9999999999.0	1.12	1.12	0.25	0.0	0	0	1	;
	14.0	214.0	9999999999.0	2.28	2.28	0.25	0.0	0	0	1	;
	15.0	176.0	9999999999.0	1.08	1.08	0.166666667	0.0	0	0	1	;
	15.0	193.0	9999999999.0	0.72	0.72	0.166666667	0.0	0	0	1	;
	16.0	217.0	9999999999.0	1.88	1.88	0.25	0.0	0	0	1	;
	16.0	231.0	9999999999.0	1.32	1.32	0.25	0.0	0	0	1	;
	17.0	178.0	9999999999.0	1.5	1.5	0.166666667	0.0	0	0	1	;
	17.0	211.0	9999999999.0	2.44	2.44	0.25	0.0	0	0	1	;
	18.0	181.0	9999999999.0	1.68	1.68	0.25	0.0	0	0	1	;
	18.0	191.0	9999999999.0	1.72	1.72	0.25	0.0	0	0	1	;
	18.0	208.0	9999999999.0	2.58	2.58	0.166666667	0.0	0	0	1	;
	19.0	213.0	9999999999.0	1.88	1.88	0.25	0.0	0	0	1	;
	19.0	229.0	9999999999.0	1.24	1.24	0.25	0.0	0	0	1	;
	19.0	232.0	9999999999.0	1.5	1.5	0.166666667	0.0	0	0	1	;
	20.0	182.0	9999999999.0	2.4	2.4	0.166666667	0.0	0	0	1	;
	20.0	207.0	9999999999.0	2.4	2.4	0.166666667	0.0	0	0	1	;
	21.0	185.0	9999999999.0	0.76	0.76	0.25	0.0	0	0	1	;
	21.0	224.0	9999999999.0	3.76	3.76	0.25	0.0	0	0	1	;
	22.0	298.0	9999999999.0	1.2	1.2	0.166666667	0.0	0	0	1	;
	23.0	314.0	9999999999.0	0.96	0.96	0.166666667	0.0	0	0	1	;
	24.0	301.0	9999999999.0	1.62	1.62	0.166666667	0.0	0	0	1	;
	24.0	313.0	9999999999.0	1.62	1.62	0.166666667	0.0	0	0	1	;
	25.0	243.0	9999999999.0	1.2	1.2	0.166666667	0.0	0	0	1	;
	25.0	244.0	9999999999.0	0.6	0.6	0.25	0.0	0	0	1	;
	26.0	295.0	9999999999.0	0.52	0.52	0.25	0.0	0	0	1	;
	27.0	321.0	9999999999.0	0.72	0.72	0.166666667	0.0	0	0	1	;
	28.0	240.0	9999999999.0	1.12	1.12	0.25	0.0	0	0	1	;
	28.0	259.0	9999999999.0	1.56	1.56	0.166666667	0.0	0	0	1	;
	29.0	253.0	9999999999.0	0.9	0.9	0.166666667	0.0	0	0	1	;
	30.0	275.0	9999999999.0	1.32	1.32	0.166666667	0.0	0	0	1	;
